imageName,sigtype1,sig1,sigtype2,sig2,sigtype3,sig3,sigtype4,sig4,sigtype5,sig5
nvlddmkm.sy_,SHA1,E73E39C4061CFF8E76B2CF932704EA8A596095C6,MD5,EEDFCA35D5ACF9412BA0D56A1519CC8B,CRC16,E258,CRC32,57C08035,HMACSHA1,32AD73161EDA8D0AB0DD34EB7E8DA553A6C62843
nvoglv32.dl_,SHA1,57CCB19060375C6AE955FA0209B42294DD2A261A,MD5,7DA1342549583C47C771FC0302F3AAB1,CRC16,F87E,CRC32,91751A74,HMACSHA1,CAC81C1C8BD8AF9FCEBA210E41690C2E1351F833
nvoglv64.dl_,SHA1,56B6DF5180A05A41ED8CAE890F92090E606789FF,MD5,910F98EF5952744C65D1C97E4B5CD60D,CRC16,BB8C,CRC32,6B3AF069,HMACSHA1,35190ECD1C02EE6D500ACFEDFDFC78A6B15EAA2D
nvwgf2um.dl_,SHA1,68E91EFE89C62D20F944AF4AC46F740F36F261E1,MD5,6F6B72AC656A2E2B756B3FB8C59A62FF,CRC16,8A98,CRC32,CCAF88BB,HMACSHA1,0AA06D8C0814C2617749C0ACC8804D8959A4B0A5
nvwgf2umx.dl_,SHA1,24441625F7596DD3EF4774C6C6CA71364770772E,MD5,7B02E1F28AD5114AD227B67891C0E517,CRC16,1D3A,CRC32,C97E054F,HMACSHA1,17EE785FBDDEDCFAC4B4F644E0E83AA6B38B4EAF
nv_disp.cat,SHA1,4101FE7E52EAABE5CBA7B0493BC4CE799242C536,MD5,A46A81B36625854336277DF15651C746,CRC16,4B8C,CRC32,4F028A16,HMACSHA1,EE7386B7291533507E7CE90DECD8805E7FDA87B7
NV_DISP.INF,SHA1,ED1054BF4D5886F08458D0676CDD67546F63722C,MD5,2C5DF0C95A063B2402328128F03E0D1C,CRC16,E76D,CRC32,261A8D59,HMACSHA1,18BEADFDA9DD731A408F2966AE2C224D7E4FBF71
OpenCL.dl_,SHA1,37E00C2FDC598E79DBE3810261C26F39BC2B8D2B,MD5,BB95670D2E585600BCA140F515260DEC,CRC16,E50D,CRC32,12BE6564,HMACSHA1,271CC1F602AD057992AB8446521192DCF6C93C99
OpenCL64.dl_,SHA1,94FBD78DE11B121408E574456A6DB135C35F9ED1,MD5,20B98B0D36086C2433504204CDA027D1,CRC16,BF88,CRC32,7E0677D9,HMACSHA1,B94D4159FD47E6316EC51E972900EFBA528F89C6
DisplayControlPanel.nvi,SHA1,ED981C9C6253725F1E57A7D96061D135452A96AC,MD5,A45B8846434385FA10350A81232416D8,CRC16,7F13,CRC32,EAE3B66C,HMACSHA1,23A8D7BFB9F480530E9468E9BD05C6470ABD5617
DisplayCplExt.dll,SHA1,1F908F75B0778B5F7A4FF53E0EFBEE5121277977,MD5,698093EA89D5EB326EBD255AECFA126C,CRC16,C3AE,CRC32,88EB3B17,HMACSHA1,81315AA8E1964257D3A294C2BD0D44078D8C20AD
EULA.txt,SHA1,4288BA63D65875419F3A77344415BE74E0B9E6EA,MD5,A87E26146D9CD6EDEE2B7AC1B4EE53E4,CRC16,A2BC,CRC32,351FBCFF,HMACSHA1,127837F32FCB7080F7E6FD8D54D7A44FB0F6C8F5
HDAudio.nvi,SHA1,99380DEB0C65E3301E7ADA7A4BCDB86807BA303F,MD5,E4CD1CA3847589C12C2A759E630D336C,CRC16,91D9,CRC32,D97DD25B,HMACSHA1,4A839C7FB8D08FEC17E30F218F98287A57DB5132
HDAudioExt.dll,SHA1,EFFFC55C9A29707CD491E66F20A1B770586EEDC2,MD5,AED8020BBEE74B81F233A299226A03D0,CRC16,D37E,CRC32,F53BFF71,HMACSHA1,E7DC7A6BA165B333DC9552D9E2CE51694C6E5D17
nvapo32v.dll,SHA1,431696FE91F6CE9CA8A10B19A12DB7543AC34DF2,MD5,947E067C193FC59CEAD85430C7725615,CRC16,EC86,CRC32,9E1DF1F7,HMACSHA1,1D6EDEA8572D0AC3F540EDE9CD1BB4DB2880D43E
nvapo64v.dll,SHA1,8787E08690256ABCA50F8E58732845B8DC5CF53F,MD5,6AB4436FB6FB5565DFD5961FA88F06E5,CRC16,223,CRC32,97A29821,HMACSHA1,E27A75D374FC61D64BB22F77181A3E2A83F0DCEA
nvgenco32.dll,SHA1,9C5FF35D960D6AF33243DAC4BA0D15E96BB0ABA4,MD5,238BAFC11B1F98DFE1D15208A824D504,CRC16,543A,CRC32,E14B99FA,HMACSHA1,4E3C9DCDD6F55CC93FDB66A6A04B83F500EE550B
nvgenco64.dll,SHA1,F9393F44CFA8D713D2DACEDF314961CCF13477DD,MD5,14F63F28614C4FBE0068E19A6DA63908,CRC16,8.00E+30,CRC32,A67F69AC,HMACSHA1,1245FF3254FCEA49EA63924BCD368158D2846152
nvhda.cat,SHA1,C94341DAA49A9C37120A13049EADD7C46132EAEC,MD5,149BED43C53DC3FA806676043BEB6CFD,CRC16,68F2,CRC32,A28A87A7,HMACSHA1,4E06CFE8A53994D989F6F62B53B9A6A9627CD0D8
nvhda.inf,SHA1,B6DDB9AE873BC760BC29D242C0C756FFA0C81FD8,MD5,3C8A8BE02A04FFB14279749DB026C60B,CRC16,B6C9,CRC32,DF200B2E,HMACSHA1,A79284F8745BDDFAF8D825A3435A37CFD5B6734C
nvhda32.sys,SHA1,4D3D1BAAABE830022FC7F4EA8133E0F4E535EC51,MD5,50ACB7253D1104E5917E15A0670D63D5,CRC16,3FD0,CRC32,AB23AE4F,HMACSHA1,052749E65A8ED7A196B0989D2E63ABCFB91429CB
nvhda32v.sys,SHA1,700D94B837FAF022E7023815A37736C67B0E68D6,MD5,92CFE8964B3A6DA0692331FA66630DB3,CRC16,2437,CRC32,7E713CD7,HMACSHA1,F50866CE9CE908E8DC11AFE22319E77135A2BB34
nvhda64.sys,SHA1,226C693E5A7006913C6C09EB430567D6CBEE728F,MD5,C5700417D895567F1852AC1670E6571F,CRC16,888,CRC32,97F537E0,HMACSHA1,25E529AA5B41FD9319B7C8815E400A2E9908A847
nvhda64v.sys,SHA1,B1402C7D6087D2EDC835532735FC61BB0E6FE2AD,MD5,857FB74754EBFF94EE3AD40788740916,CRC16,CB98,CRC32,BFC59398,HMACSHA1,92286AA44E9E1921F2C042211DFB77B95EC0296D
nvhdap32.dll,SHA1,AA0C40965A63E263AA01D2C310738223F8E139B4,MD5,F74856194AFC76190E3A0DB77D79B3B5,CRC16,94DB,CRC32,0E60D4C3,HMACSHA1,7617C79EE125DD205E8EA4692DDD0A2B898DF950
nvhdap64.dll,SHA1,248280262791144F7F8879EFDDFC927042E9B6E0,MD5,77D0B38EE6A3E8BA93B36927B011A650,CRC16,C96F,CRC32,7FD1FE52,HMACSHA1,C16DEEC87849B8B62C991C0AB74B7458DE59589A
license.txt,SHA1,49F4E9498720377B2F1ED1385090C030B2E48EB5,MD5,C7E2FE565A12930A3538D4B1E70072BE,CRC16,A01F,CRC32,F4497661,HMACSHA1,775BD5DE52CA1D987970193BDB44D8B6EFFB53EA
3DVision_266.45.exe,SHA1,C66A80E847D168AB593808476E15EE7DC03AA0BA,MD5,25060B7700FB7A4595E8CDA405BD1C7F,CRC16,581B,CRC32,B4A28D76,HMACSHA1,B61A7A3CB4955EC42ECBDCD29F020B251C323EB2
NV3DVision.nvi,SHA1,AFDFBF9143BD463B476318447217B30216355765,MD5,EE8ED4E8294783F73AC1C5F0FFF85FD7,CRC16,B6C7,CRC32,455CA2BD,HMACSHA1,9D1496CA1A8864BF85F1B47713893F987E806B54
NV3DVisionExt.dll,SHA1,07C526AC1C1303A4D9AC5F5565555580D3B06226,MD5,CE65A72CB7D427CFB34B432657D23880,CRC16,236C,CRC32,AEC2163F,HMACSHA1,79256D17955880719E4AAF6648750D221D7B6A3D
0000.ui.forms,SHA1,3A0B75A9A00F0B4DE5F6DF14F6B1524741279E64,MD5,63D2C297449168CB422F8F07B91E8133,CRC16,BC61,CRC32,6E27EE20,HMACSHA1,DB838B26DA649B49E268A5B7B5830CFE0CAE8746
0000.ui.strings,SHA1,F48B032440531429D906A2ADBA3A700D70256820,MD5,3E29572A39FFBC5689508118690FAC73,CRC16,23D8,CRC32,FEB87DE3,HMACSHA1,9C2AC644617F969210D34835497D16ECCC4DDB09
0409.ui.forms,SHA1,6AC6BD787061D4A4F9D081FB63B2D80057A5A2E0,MD5,18A662EA2593FCC0061768815C60A0FE,CRC16,9B2E,CRC32,0166B79E,HMACSHA1,4F1C2D3AA0DDCAFA3209E2FAC41B5627DA91DCC8
0409.ui.strings,SHA1,0E611C80F5D56F7896B8265AE25CC690D7CA97C7,MD5,D0A67CB29177C9457EA8171407FF6D18,CRC16,FF46,CRC32,74256566,HMACSHA1,D8FE7D6952D1465BF6A78BA0E50DAED0F89B6E2C
box_checked_disabled.png,SHA1,3C721F8EE59B0611E18503660CBCF1E95E802679,MD5,CAF97546CE462BC4B5B8F3A36AD2D218,CRC16,A7D1,CRC32,8DEF9CE1,HMACSHA1,B7E1BF0149B9C9C897B1AD564EFE41AF6DC08819
box_checked_enabled.png,SHA1,BE653CF35EEFC04EAD58E3D21E458F0DB68F94DA,MD5,C7DC72E499C8B1B1EC41626518905905,CRC16,2C14,CRC32,8.33E+55,HMACSHA1,B01C2D30BE4DBA087D41A31A36E325874CC8832E
box_unchecked_disabled.png,SHA1,40186E46145EC17C1965B8D8A816D2D5D699DCBE,MD5,605442899CDFA4A07F05236607F47BF3,CRC16,C647,CRC32,37348D74,HMACSHA1,C002A9433EEFC36CC8B20A0AB56ECB211A848D94
box_unchecked_enabled.png,SHA1,989947A82813941D23B757273A1B0C6BA74113EE,MD5,09B24259AA3C42ADC7D41859557EB3FC,CRC16,0CDA,CRC32,E0A4B3E1,HMACSHA1,C7B640BB8781A6DFD320841EE423A754AF475804
btn_disable_135.png,SHA1,A5286CB3A3F56FE8A53B27045A0A0739F90679CE,MD5,F826B82BDCDADBC70811E068314C3723,CRC16,37EB,CRC32,4D5A35BF,HMACSHA1,A2ED286CB305F0335E5B7F1B613D3606B987017A
btn_disable_180.png,SHA1,22F95AFF3FEA205765DAAED2578EFFD3E0FF0443,MD5,425816A5DDBBD55F7CAA980248EC1E03,CRC16,CB42,CRC32,A00F5DDB,HMACSHA1,55A2B3273070D58D3EC3137DF1CDF2C10BDE36D1
btn_disable_90.png,SHA1,10180F01C2E8F66D81201B195673EC358ADBB1D2,MD5,B5EDE0CC233F7893AF613649EF54B249,CRC16,975E,CRC32,B4AB8B4B,HMACSHA1,91F9DAD1BC80C38CB6ACAA5C6D89ED437885F72B
btn_primary_135.png,SHA1,F02FBD49C2CF1C5B81B3FC12BF6CA269D83ADCEE,MD5,2B499DBDEDC96B7E76188834208F6450,CRC16,21DE,CRC32,88B0A134,HMACSHA1,D1EE98FE1C2D818FB2C1A248ECDFC2E8508F1521
btn_primary_180.png,SHA1,4EDFB3B55EA9189629640F461B86DB872364CFC4,MD5,9E9F04247AEA7DED0F392C5A0DF36A33,CRC16,15CA,CRC32,2.20E+114,HMACSHA1,F96F87FAA5E8145F4B5F3E31C892EFFDDE297183
btn_primary_90.png,SHA1,90B7939C0AC66663CC3E324EA090D198DC631793,MD5,0CB1703936D5CC86A006CA3A2EDF5696,CRC16,00D7,CRC32,E60FE247,HMACSHA1,70FE3F3B79DC49BF4783AEEB4A82A1422CAA2CB9
btn_primary_focus_135.png,SHA1,ED0519EB47146F05D438193F71E8893255775372,MD5,FC3F7A48B2B46444E76E6426128C541E,CRC16,E8AA,CRC32,F0599000,HMACSHA1,9BC8A2C971F9F08EE6E3818A88F7A25B77E3C164
btn_primary_focus_180.png,SHA1,70F2B16A8DEDF3EC69F5776541EAAA21DC816ED0,MD5,176F7EB852CB0D862738F2B90296172A,CRC16,A75D,CRC32,D84E2060,HMACSHA1,C2E8F93EF8755DBEC4B55F8189BDDEDA2183F126
btn_primary_focus_90.png,SHA1,7F02E8B7668AC33EA345725C5113925EE507EAA3,MD5,53F8CF10901F544903DD71D9C808A34B,CRC16,875A,CRC32,F34859CD,HMACSHA1,D50C0292AC15FCA61F21679D3158E2F4AA78E24F
btn_primary_pressed_135.png,SHA1,39343AF10E0A6008303F15D415AC6BE8BBCAF817,MD5,65061992D62DB5F3CDE5729ABFEA7374,CRC16,6D1B,CRC32,DDE8F48A,HMACSHA1,DDAF31CD72288A0EBD2456A3BE4CDB978AF9F7A3
btn_primary_pressed_180.png,SHA1,A14CF29E2253961951F50756DFC4E7DF32C85AEC,MD5,5836544E258827010AAA7F142D3FA48C,CRC16,7899,CRC32,82EF7456,HMACSHA1,E2AA6F181B01D46372D9182B91CF2406494F201A
btn_primary_pressed_90.png,SHA1,E8347EAB6D457F2D4E3441F119A0F7B18A10B936,MD5,2F791AF6BFF85CEAA6E11067CEA51B6F,CRC16,4D00,CRC32,02A61A0D,HMACSHA1,C50251DFCA0F15690A607C30CF31666DF8BF5C67
btn_secondary_135.png,SHA1,9164CBA486EC921CAD87642C5F542055A2218C21,MD5,8EC3D2BFD040A4673ED70AFB841B1E55,CRC16,AACD,CRC32,6C220E49,HMACSHA1,F4E5E6665511B00D26423DBEA6B63ECD2DA72B68
btn_secondary_180.png,SHA1,FF06FCB9A70800D6E437DE087E4F090FE23C5024,MD5,28DB1F6BAEE2684E3EA91274CC33E2AB,CRC16,769D,CRC32,C6062475,HMACSHA1,E2557B366947ADF12440E92CA9D9883BA394B326
btn_secondary_90.png,SHA1,311C8E366FBC93DABA8FF17C6D8AD73B0B507241,MD5,73DEB14049F90F14919DFF8FAA3A21AC,CRC16,8A74,CRC32,97A9F339,HMACSHA1,0E0379A03108B6A0C84FDC9E4056783F6DBD536D
btn_secondary_focus_135.png,SHA1,84418F3070BF86732AC44766003F0B28A87BD8E0,MD5,8001EA52C6E570DF69EACD76486A62A4,CRC16,B089,CRC32,417F5AEC,HMACSHA1,7427F1BEFF44014D77FBB86A74CC71A60D067731
btn_secondary_focus_180.png,SHA1,B984C4350B4D18207DEAE19E903AE4A1A7A2424E,MD5,0ADCB46F78EAF675EAA9C39F587A1F41,CRC16,BC02,CRC32,9D671624,HMACSHA1,658B8447222C688244167150664E043763E550E7
btn_secondary_focus_90.png,SHA1,E770C9A3B82BDF423F9F8A77BAF970C7D5268425,MD5,73D91B824DF282618DBF86629A992861,CRC16,6.00E+67,CRC32,2E3795A4,HMACSHA1,4B777AA9816459D02EA4F939F2D4A5135FB10625
btn_secondary_pressed_135.png,SHA1,126B9AB71D18BABBAE23E1CFAF45ACFE4C16ADF8,MD5,A31F73509768A312D8B2A2336D625199,CRC16,0D20,CRC32,DFCE1665,HMACSHA1,E449290478FFB8C71569AFF78A8FB496301DF92A
btn_secondary_pressed_180.png,SHA1,04B90043FDBBCB22A385F9157A7645A1EA2050FC,MD5,6849AEAD3E5FDFA067A8F1800A7BDE08,CRC16,3EA3,CRC32,6BC9CDF0,HMACSHA1,AA8C2630E6B27EA1FADED918F58DA3C06E003722
btn_secondary_pressed_90.png,SHA1,6A78C244757CF4AC3C41BA42A3026A7568D8E608,MD5,A66CF1570CBBCCA20C6C87FC8701912B,CRC16,8291,CRC32,DA015959,HMACSHA1,45319D33932FF44BA77AF53D46D40C682EC12D10
check.png,SHA1,673A740E2AE6E4B8ABB16485C09C731ED96814DF,MD5,784CFC18D5C0C68F18492965846A7DCC,CRC16,1B19,CRC32,13505CC1,HMACSHA1,BCDBD92E7BFEE24AF687B59542C91B474391DD76
checkmark.png,SHA1,52D403D44E87394A144EF204C69C293177B94524,MD5,6CB4E715DD12F6A7C5DC574674E1CA4C,CRC16,E63F,CRC32,7099E0A3,HMACSHA1,E65741A848CD24BD198E851D7473CF10C6F706B4
error.png,SHA1,8B956C176E561F7723E8CDE6DD9A2BCC74079BB9,MD5,B7B0E506EC94A6902C05E277BFAAD24A,CRC16,0EC5,CRC32,A32BC210,HMACSHA1,19E044060E394B5917A6F717446463DC6B85BB1F
info.png,SHA1,2B2449883E5EF72B6AAAF298D81D1F061F4D84DA,MD5,299236C86C720FD4EFB21E9C806B2D96,CRC16,29F7,CRC32,74E87E18,HMACSHA1,C9C21B32A205CB61848B4F2269FC9A38F42ED766
install_bg.png,SHA1,B9DC7D49BAE4393E29F16DEB92DC737B7750A690,MD5,ECADFA0E04DE9D1EC95297D129E41EBD,CRC16,1736,CRC32,204D5CAC,HMACSHA1,05516C5CC0BD2BF2919FE84DD89B176E0FBA6AF1
install_bg_rtl.png,SHA1,B609FD65568A309C916EB7FDA30E153A7ACBB971,MD5,1F0F5F0A8E26AE17344E7054BF9AFCF0,CRC16,001C,CRC32,9ED12487,HMACSHA1,42D9F37A838B1C22365042EFA51748E114323887
NVI2.dll,SHA1,5998429941AA124ADB0503B9D7EADDB4AB57843A,MD5,FAA8ED1A7BA4FE6891F8EABA57662E48,CRC16,269E,CRC32,815C2B5F,HMACSHA1,EEA188899A2155D815599C7F961EDF2F819F5255
NVI2UI.dll,SHA1,64D15762D892E16E7F4CB71026B559F64CAC5E97,MD5,479F5D00329C89A048D2F076534C2AFC,CRC16,21A9,CRC32,864DF4A9,HMACSHA1,FCF03901C2CD42674F5F125BA33EE750050D02C4
NVPrxy32.dll,SHA1,7910D41AEBDDBC5B2A5D9CC3BE5B0D57E3FD24FC,MD5,B0C332C5D1F24A0E6B73FC5492932A90,CRC16,E3AB,CRC32,BC16B19D,HMACSHA1,8D952ADF62A7262345A099F60AEB475DB180AD76
NVPrxy64.dll,SHA1,5C67FAABBE48E63985FAE88BAA80EFF6FB6D19F8,MD5,57E1E6DD53B0DA0AA2B959CA3835DAF5,CRC16,D69A,CRC32,8181A37B,HMACSHA1,5EF0F4CBD2F4E38F9F21EE6BE2C9BC7D9E577DB7
radio_btn_selected.png,SHA1,3E10D1489D85795100AE1CAE502113F81C3E21EA,MD5,5DFB63596FF5CAAEF9AA0724DD6BAFB8,CRC16,3776,CRC32,01851D29,HMACSHA1,733E5C8980BC636D4464691408435E2777DC58C8
radio_btn_unselected.png,SHA1,C428B9797EAD84E31B23A809607729F22249ACD9,MD5,307EED8171F109A00BB57A569383021C,CRC16,CB1D,CRC32,BF1AD923,HMACSHA1,F1C5AA89CE81681B20CC021D924D7256B4ADF641
splash.png,SHA1,4239468A3344472F6CA7C926347995F0EE6C0546,MD5,01C392FE2ED598C405422D80162C38F3,CRC16,8516,CRC32,A5E91921,HMACSHA1,B1422703580E548C4B88331A4A7325020A8FF454
splash_rtl.png,SHA1,51E7B60A0ED93D55437A16E6B6100D5E20F6B740,MD5,42DC81D7DCA3157778B8B579A9B256D2,CRC16,A907,CRC32,98A8B49F,HMACSHA1,751D13299D95D1F69C22656A03999659AD040CFB
theme.cfg,SHA1,6087B532D990A1409E0EF6DBE007E96F1F163E6E,MD5,9B3E19AEF1A27C9D980E93D3B4985C8E,CRC16,D0CE,CRC32,07A1509C,HMACSHA1,D420517802543F375FEEC0F1061130891A4B0B33
uninstall_bg.png,SHA1,7577B04B4BDD60188597E30314F8967BC28369F5,MD5,CAE2B185B8E47D62298CC874D967FEEA,CRC16,91C7,CRC32,6685023F,HMACSHA1,BFE56A73FC3EEF16921CDCAA7F102CCC87C5216D
uninstall_bg_rtl.png,SHA1,ED99D2221A675875B476A531547999B55A5C5111,MD5,46EED16EF88B4945C7672746E25BD582,CRC16,A5B0,CRC32,3325F552,HMACSHA1,6D8D0C3A19B456FFD1C2381BD1669E2A54913B53
warning.ico,SHA1,2AEC3D4C9E1F941709FC833CE53361BA9D02A7A2,MD5,11E144F35AE7ABA86BB418598288F914,CRC16,109,CRC32,9ABB77C9,HMACSHA1,0B42F754392B55874FD966DF59EBC2D560E0550B
warning.png,SHA1,8DE9F6F22124C78C50D3E4252A518A689377F7A7,MD5,E183A85754CD95C4BB9D3B4A6B837FED,CRC16,9749,CRC32,3E2FD3D6,HMACSHA1,14DA4361924E64983878F2C82950405DB6356024
nView.cab,SHA1,C257B73EB0D7CAA3637759A7654A14B62995E7D0,MD5,7D247CF5BB62F4F1070BA69FE2DA4ACC,CRC16,EAEB,CRC32,F92D5C10,HMACSHA1,2C742DB5B0969AE9EFD1EC113ED00DC3F91195D4
NView.nvi,SHA1,A20A3AA6A89AC18E059DAAE5617909E8FE2BAC52,MD5,73B06105D4366820363B398ECD49ED61,CRC16,867F,CRC32,D5325A4C,HMACSHA1,124F750AF6268A3FBDF0D88F66AA1F4AAB8DA7EF
NViewExt.dll,SHA1,F3287CA9A59E2696D5ED6DD417EFC7A4E7FA4FA6,MD5,76431FF7530FE3732B5E75C59611D481,CRC16,1FA0,CRC32,2BD99981,HMACSHA1,C9AF925204080BA30A4E3F23EEAC82AAD618CF29
nviewsetup.exe,SHA1,B5B811D27545BB7A1645C85312BE829B3EFB97D0,MD5,8C3DA3B3EA93DB09BE0057599453787D,CRC16,4C02,CRC32,6130B0C5,HMACSHA1,F5F58B31D4C31743DFB46D81D7CDC2EFAF0A694E
Setup.cfg,SHA1,48316C4582BCC1F76534FEF689B3D36534CA1350,MD5,71F04752371FA815D57E411EB42C0C85,CRC16,DCFA,CRC32,1B490690,HMACSHA1,BDEEF95B0D293471B0B04B2C21A73A15686FC96E
setup.exe,SHA1,2DE1C441744D1B5F9B5A5AD4C59C26FAAE800E4B,MD5,CFADF92F4C7F680EA0BA5F4BB1CED39A,CRC16,00BA,CRC32,7CED8609,HMACSHA1,2A8E9202C61DAD15508895244FB914D079F1729D
